territorycode,netivcamt,standardized
East,45.36,-0.30542905
East,45.4,-0.305417815
East,45.42,-0.305412198
East,45.44,-0.305406581
East,45.46,-0.305400964
East,45.6,-0.305361643
East,45.66,-0.305344792
East,45.8,-0.305305471
East,45.88,-0.305283002
East,45.9,-0.305277385
East,46,-0.305249299
East,46.08,-0.30522683
East,46.1,-0.305221213
East,46.2,-0.305193127
East,46.4,-0.305136955
East,46.41,-0.305134146
East,46.42,-0.305131337
East,46.45,-0.305122912
East,46.5,-0.305108868
East,46.55,-0.305094825
East,46.56,-0.305092017
East,46.6,-0.305080782
East,46.64,-0.305069548
East,46.75,-0.305038653
East,46.8,-0.30502461
East,46.86,-0.305007759
East,46.9,-0.304996524
East,47,-0.304968438
East,47.1,-0.304940352
East,47.2,-0.304912266
East,47.25,-0.304898223
East,47.4,-0.304856094
East,47.46,-0.304839242
East,47.48,-0.304833625
East,47.5,-0.304828008
East,47.52,-0.30482239
East,47.6,-0.304799921
East,47.76,-0.304754984
East,47.8,-0.304743749
East,47.85,-0.304729706
East,48,-0.304687577
East,48.1,-0.304659491
East,48.2,-0.304631405
East,48.3,-0.304603319
East,48.4,-0.304575233
East,48.48,-0.304552764
East,48.5,-0.304547147
East,48.6,-0.304519061
East,48.7,-0.304490975
East,48.72,-0.304485357
East,48.76,-0.304474123
East,48.79,-0.304465697
East,48.8,-0.304462888
East,48.84,-0.304451654
East,48.89,-0.304437611
East,48.9,-0.304434802
East,49,-0.304406716
East,49.07,-0.304387056
East,49.1,-0.30437863
East,49.17,-0.30435897
East,49.2,-0.304350544
East,49.3,-0.304322458
East,49.35,-0.304308415
East,49.36,-0.304305606
East,49.39,-0.30429718
East,49.4,-0.304294372
East,49.5,-0.304266286
East,49.54,-0.304255051
East,49.6,-0.3042382
East,49.7,-0.304210114
East,49.71,-0.304207305
East,49.8,-0.304182028
East,49.84,-0.304170793
East,49.88,-0.304159559
East,49.9,-0.304153941
East,49.94,-0.304142707
East,49.98,-0.304131473
East,50,-0.304125855
East,50.1,-0.304097769
East,50.13,-0.304089343
East,50.16,-0.304080918
East,50.2,-0.304069683
East,50.4,-0.304013511
East,50.5,-0.303985425
East,50.6,-0.303957339
East,50.7,-0.303929253
East,50.73,-0.303920827
East,50.8,-0.303901167
East,50.82,-0.303895549
East,50.9,-0.303873081
East,50.92,-0.303867463
East,51,-0.303844994
East,51.04,-0.30383376
East,51.1,-0.303816908
East,51.12,-0.303811291
East,51.2,-0.303788822
East,51.24,-0.303777588
East,51.26,-0.303771971
East,51.32,-0.303755119
East,51.48,-0.303710181
East,51.55,-0.303690521
East,51.6,-0.303676478
East,51.66,-0.303659626
East,51.68,-0.303654009
East,51.7,-0.303648392
East,51.8,-0.303620306
East,51.94,-0.303580985
East,52,-0.303564134
East,52.02,-0.303558516
East,52.08,-0.303541665
East,52.1,-0.303536047
East,52.12,-0.30353043
East,52.2,-0.303507961
East,52.24,-0.303496727
East,52.32,-0.303474258
East,52.36,-0.303463024
East,52.4,-0.303451789
East,52.44,-0.303440555
East,52.5,-0.303423703
East,52.52,-0.303418086
East,52.6,-0.303395617
East,52.7,-0.303367531
East,52.74,-0.303356296
East,52.75,-0.303353488
East,52.8,-0.303339445
East,53,-0.303283273
East,53.04,-0.303272038
East,53.05,-0.30326923
East,53.1,-0.303255187
East,53.12,-0.303249569
East,53.2,-0.3032271
East,53.3,-0.303199014
East,53.31,-0.303196206
East,53.34,-0.30318778
East,53.4,-0.303170928
East,53.5,-0.303142842
East,53.55,-0.303128799
East,53.56,-0.303125991
East,53.6,-0.303114756
East,53.66,-0.303097904
East,53.79,-0.303061393
East,53.8,-0.303058584
East,53.85,-0.303044541
East,53.94,-0.303019263
East,54,-0.303002412
East,54.1,-0.302974326
East,54.12,-0.302968708
East,54.17,-0.302954665
East,54.24,-0.302935005
East,54.4,-0.302890067
East,54.5,-0.302861981
East,54.54,-0.302850747
East,54.6,-0.302833895
East,54.66,-0.302817044
East,54.72,-0.302800192
East,54.77,-0.302786149
East,54.8,-0.302777723
East,54.85,-0.30276368
East,54.9,-0.302749637
East,54.94,-0.302738402
East,55,-0.302721551
East,55.08,-0.302699082
East,55.1,-0.302693465
East,55.15,-0.302679422
East,55.2,-0.302665379
East,55.3,-0.302637293
East,55.35,-0.30262325
East,55.37,-0.302617632
East,55.44,-0.302597972
East,55.45,-0.302595163
East,55.5,-0.30258112
East,55.6,-0.302553034
East,55.7,-0.302524948
East,55.72,-0.302519331
East,55.79,-0.302499671
East,55.8,-0.302496862
East,55.88,-0.302474393
East,55.9,-0.302468776
East,56,-0.30244069
East,56.01,-0.302437881
East,56.1,-0.302412604
East,56.14,-0.302401369
East,56.15,-0.302398561
East,56.16,-0.302395752
East,56.2,-0.302384518
East,56.3,-0.302356432
East,56.32,-0.302350814
East,56.4,-0.302328346
East,56.5,-0.302300259
East,56.6,-0.302272173
East,56.7,-0.302244087
East,56.72,-0.30223847
East,56.75,-0.302230044
East,56.8,-0.302216001
East,56.82,-0.302210384
East,56.84,-0.302204767
East,56.92,-0.302182298
East,56.98,-0.302165446
East,57,-0.302159829
East,57.1,-0.302131743
East,57.12,-0.302126126
East,57.2,-0.302103657
East,57.3,-0.302075571
East,57.36,-0.302058719
East,57.43,-0.302039059
East,57.45,-0.302033442
East,57.5,-0.302019399
East,57.6,-0.301991312
East,57.65,-0.301977269
East,57.72,-0.301957609
East,57.78,-0.301940758
East,57.8,-0.30193514
East,57.9,-0.301907054
East,57.96,-0.301890203
East,58,-0.301878968
East,58.2,-0.301822796
East,58.24,-0.301811562
East,58.3,-0.30179471
East,58.36,-0.301777858
East,58.4,-0.301766624
East,58.44,-0.301755389
East,58.49,-0.301741346
East,58.5,-0.301738538
East,58.6,-0.301710452
East,58.62,-0.301704834
East,58.63,-0.301702026
East,58.67,-0.301690791
East,58.7,-0.301682365
East,58.74,-0.301671131
East,58.76,-0.301665514
East,58.79,-0.301657088
East,58.8,-0.301654279
East,58.88,-0.301631811
East,58.9,-0.301626193
East,58.94,-0.301614959
East,59,-0.301598107
East,59.04,-0.301586873
East,59.1,-0.301570021
East,59.15,-0.301555978
East,59.16,-0.301553169
East,59.2,-0.301541935
East,59.22,-0.301536318
East,59.3,-0.301513849
East,59.4,-0.301485763
East,59.45,-0.30147172
East,59.52,-0.30145206
East,59.55,-0.301443634
East,59.7,-0.301401505
East,59.75,-0.301387462
East,59.8,-0.301373419
East,59.84,-0.301362184
East,59.9,-0.301345332
East,59.98,-0.301322864
East,60,-0.301317246
East,60.17,-0.3012695
East,60.2,-0.301261074
East,60.26,-0.301244222
East,60.3,-0.301232988
East,60.4,-0.301204902
East,60.48,-0.301182433
East,60.53,-0.30116839
East,60.6,-0.30114873
East,60.7,-0.301120644
East,60.76,-0.301103792
East,60.8,-0.301092558
East,60.82,-0.30108694
East,60.84,-0.301081323
East,60.85,-0.301078515
East,60.9,-0.301064472
East,60.95,-0.301050428
East,60.96,-0.30104762
East,61,-0.301036385
East,61.05,-0.301022342
East,61.08,-0.301013917
East,61.2,-0.300980213
East,61.3,-0.300952127
East,61.38,-0.300929658
East,61.44,-0.300912807
East,61.49,-0.300898764
East,61.5,-0.300895955
East,61.52,-0.300890338
East,61.6,-0.300867869
East,61.7,-0.300839783
East,61.8,-0.300811697
East,61.82,-0.300806079
East,61.83,-0.300803271
East,61.84,-0.300800462
East,61.85,-0.300797654
East,62,-0.300755525
East,62.02,-0.300749907
East,62.04,-0.30074429
East,62.1,-0.300727438
East,62.2,-0.300699352
East,62.24,-0.300688118
East,62.34,-0.300660032
East,62.36,-0.300654415
East,62.37,-0.300651606
East,62.4,-0.30064318
East,62.46,-0.300626329
East,62.49,-0.300617903
East,62.59,-0.300589817
East,62.6,-0.300587008
East,62.62,-0.300581391
East,62.8,-0.300530836
East,62.9,-0.30050275
East,63,-0.300474664
East,63.02,-0.300469046
East,63.04,-0.300463429
East,63.2,-0.300418491
East,63.24,-0.300407257
East,63.28,-0.300396023
East,63.3,-0.300390405
East,63.36,-0.300373554
East,63.4,-0.300362319
East,63.5,-0.300334233
East,63.58,-0.300311764
East,63.6,-0.300306147
East,63.64,-0.300294913
East,63.67,-0.300286487
East,63.68,-0.300283678
East,63.75,-0.300264018
East,63.78,-0.300255592
East,63.8,-0.300249975
East,63.9,-0.300221889
East,64,-0.300193803
East,64.04,-0.300182568
East,64.13,-0.300157291
East,64.14,-0.300154482
East,64.2,-0.300137631
East,64.3,-0.300109544
East,64.4,-0.300081458
East,64.43,-0.300073033
East,64.5,-0.300053372
East,64.6,-0.300025286
East,64.65,-0.300011243
East,64.8,-0.299969114
East,64.9,-0.299941028
East,64.97,-0.299921368
East,65,-0.299912942
East,65.02,-0.299907325
East,65.08,-0.299890473
East,65.1,-0.299884856
East,65.12,-0.299879239
East,65.26,-0.299839918
East,65.33,-0.299820258
East,65.34,-0.299817449
East,65.45,-0.299786554
East,65.5,-0.299772511
East,65.6,-0.299744425
East,65.65,-0.299730382
East,65.72,-0.299710722
East,65.8,-0.299688253
East,66,-0.299632081
East,66.06,-0.299615229
